epoch,accuracy,dice_coefficient,learning_rate,loss,val_accuracy,val_dice_coefficient,val_loss
0,0.5421278476715088,0.03903788700699806,9.999999747378752e-05,0.9581068754196167,0.27429503202438354,0.0421094074845314,0.9326335191726685
1,0.6485262513160706,0.05130535364151001,9.999999747378752e-05,0.9482166171073914,0.08026733249425888,0.048231739550828934,0.9228364825248718
2,0.7304028868675232,0.05903983116149902,9.999999747378752e-05,0.9366415739059448,0.03455505520105362,0.04564997926354408,0.9269657135009766
3,0.7987330555915833,0.06474592536687851,9.999999747378752e-05,0.9305184483528137,0.08198394626379013,0.04559134319424629,0.927059531211853
4,0.83289635181427,0.07742733508348465,9.999999747378752e-05,0.9169092774391174,0.558581531047821,0.06121952459216118,0.9020576477050781
5,0.8310354948043823,0.08403188735246658,9.999999747378752e-05,0.9133912920951843,0.7222579717636108,0.09193295240402222,0.8529273867607117
6,0.8551170825958252,0.09945263713598251,9.999999747378752e-05,0.9070467352867126,0.8299590945243835,0.12108037620782852,0.8063082695007324
7,0.8721303939819336,0.10399515181779861,9.999999747378752e-05,0.9073600769042969,0.7108078002929688,0.09649988263845444,0.8456220626831055
8,0.8754531145095825,0.09454207122325897,9.999999747378752e-05,0.8985429406166077,0.816149890422821,0.1240694522857666,0.8015268445014954
9,0.8619427680969238,0.09566172957420349,9.999999747378752e-05,0.8973413705825806,0.9642990231513977,0.22478526830673218,0.6404291391372681
10,0.8777394890785217,0.09856224060058594,9.999999747378752e-05,0.8942282199859619,0.803692638874054,0.1289559304714203,0.7937144041061401
11,0.882415235042572,0.10217022895812988,9.999999747378752e-05,0.8903566598892212,0.9330474734306335,0.22578713297843933,0.6388944387435913
12,0.8756617307662964,0.10270602256059647,9.999999747378752e-05,0.8897817730903625,0.9679718017578125,0.2918490171432495,0.533356785774231
13,0.8870172500610352,0.11695518344640732,9.999999747378752e-05,0.8830934762954712,0.8654403686523438,0.16390354931354523,0.7378289699554443
14,0.8818573355674744,0.10829509049654007,9.999999747378752e-05,0.8837839365005493,0.9319717288017273,0.22902727127075195,0.6338838338851929
15,0.8839327096939087,0.11094317585229874,9.999999747378752e-05,0.8837010264396667,0.9405761957168579,0.2527490556240082,0.5960041284561157
16,0.895843505859375,0.11044168472290039,9.999999747378752e-05,0.88148033618927,0.9458694458007812,0.2612157166004181,0.5832820534706116
17,0.9024167060852051,0.1262827068567276,9.999999747378752e-05,0.8725650906562805,0.9698150753974915,0.31913572549819946,0.49054089188575745
18,0.8945239782333374,0.1412588208913803,9.999999747378752e-05,0.8638485074043274,0.9820266962051392,0.34123510122299194,0.45552611351013184
19,0.903289794921875,0.12305177003145218,9.999999747378752e-05,0.8679479360580444,0.9280990362167358,0.23314785957336426,0.6292209029197693
20,0.9001911282539368,0.1203806921839714,9.999999747378752e-05,0.8708146214485168,0.7322937250137329,0.10846173018217087,0.8264847993850708
21,0.896626889705658,0.12440504878759384,9.999999747378752e-05,0.866495668888092,0.857495129108429,0.16549184918403625,0.735275149345398
22,0.8952562212944031,0.1337779313325882,9.999999747378752e-05,0.8665325045585632,0.957745373249054,0.2968297302722931,0.5288877487182617
23,0.9172555208206177,0.14328035712242126,9.999999747378752e-05,0.8559704422950745,0.9472198486328125,0.2717941701412201,0.5678939819335938
24,0.911644697189331,0.16163092851638794,1.9999999494757503e-05,0.8513795137405396,0.9554656744003296,0.28964555263519287,0.5400487780570984
25,0.9218327403068542,0.1500498205423355,1.9999999494757503e-05,0.8495200276374817,0.960369884967804,0.29982316493988037,0.5230133533477783
26,0.9225825071334839,0.15368495881557465,1.9999999494757503e-05,0.8456644415855408,0.9498947262763977,0.2756006419658661,0.5611653327941895
27,0.919523298740387,0.14764322340488434,1.9999999494757503e-05,0.8453747630119324,0.9551727175712585,0.2870631217956543,0.5424606204032898
28,0.9242444038391113,0.15687641501426697,1.9999999494757503e-05,0.8408582806587219,0.9536361694335938,0.28234612941741943,0.5497060418128967
